country_id,date,value
19,1985-01-01,-11.4
208,1985-01-01,-3.8
68,1985-01-01,3.5
52,1985-01-01,1.7
157,1985-01-01,5.8
469,1985-01-01,3.6
183,1985-01-01,
708,1985-01-01,2.2
858,1985-01-01,6.4
195,1985-01-01,2.5
145,1985-01-01,6.0
294,1985-01-01,-0.6
932,1985-01-01,5.0
72,1985-01-01,4.3
517,1985-01-01,0.4
500,1985-01-01,0.8
84,1985-01-01,5.6
767,1985-01-01,0.7
837,1985-01-01,-0.3
997,1985-01-01,3.3
346,1985-01-01,5.3
312,1985-01-01,3.9
472,1985-01-01,1.9
902,1985-01-01,
824,1985-01-01,1.9
665,1985-01-01,4.5
91,1985-01-01,2.6
831,1985-01-01,-0.9
894,1985-01-01,5.2
480,1985-01-01,-1.1
485,1985-01-01,
567,1985-01-01,4.1
484,1985-01-01,-4.5
24,1985-01-01,7.8
499,1985-01-01,
392,1985-01-01,-4.3
743,1985-01-01,
140,1985-01-01,9.1
751,1985-01-01,
41,1985-01-01,24.3
646,1985-01-01,3.0
360,1985-01-01,
822,1985-01-01,0.6
218,1985-01-01,
235,1985-01-01,5.6
723,1985-01-01,
742,1985-01-01,1.2
715,1985-01-01,4.6
186,1985-01-01,-0.9
892,1985-01-01,13.8
125,1985-01-01,3.2
338,1985-01-01,2.4
841,1985-01-01,
529,1985-01-01,
526,1985-01-01,6.9
92,1985-01-01,1.9
909,1985-01-01,
18,1985-01-01,
871,1985-01-01,5.7
273,1985-01-01,
515,1985-01-01,6.3
859,1985-01-01,1.0
359,1985-01-01,
135,1985-01-01,
101,1985-01-01,
768,1985-01-01,6.1
790,1985-01-01,2.7
774,1985-01-01,1.2
211,1985-01-01,-4.1
859,1985-01-01,7.7
555,1985-01-01,
680,1985-01-01,
16,1985-01-01,5.6
427,1985-01-01,14.5
282,1985-01-01,8.7
356,1985-01-01,
900,1985-01-01,4.9
205,1985-01-01,3.6
644,1985-01-01,3.9
61,1985-01-01,2.1
256,1985-01-01,-7.3
616,1985-01-01,3.9
775,1985-01-01,1.6
913,1985-01-01,2.1
587,1985-01-01,-13.0
