country_id,date,value,country_id_hash
312,1984-01-01,0.2,57643641
549,1984-01-01,3.8,72282422
366,1984-01-01,,59805280
239,1984-01-01,7.5,52830773
443,1984-01-01,5.9,23013392
560,1984-01-01,9.9,82422592
689,1984-01-01,5.3,47875248
367,1984-01-01,5.9,18938828
441,1984-01-01,15.2,9991475
181,1984-01-01,3.4,41161672
640,1984-01-01,4.2,45387969
135,1984-01-01,4.8,71792468
366,1984-01-01,2.4,59805280
169,1984-01-01,8.0,74759091
815,1984-01-01,,15024232
966,1984-01-01,8.8,79476360
172,1984-01-01,,9318686
79,1984-01-01,-2.0,10652375
604,1984-01-01,4.2,37854619
175,1984-01-01,,83684836
683,1984-01-01,4.2,33288671
848,1984-01-01,1.3,93586470
852,1984-01-01,4.2,8966224
646,1984-01-01,8.0,14679614
531,1984-01-01,1.3,15428775
217,1984-01-01,1.0,15068116
641,1984-01-01,,71050252
426,1984-01-01,,65445761
625,1984-01-01,2.5,5544914
19,1984-01-01,-2.3,6574532
208,1984-01-01,10.1,6092745
68,1984-01-01,3.2,86772443
52,1984-01-01,1.6,76244680
